stt|type|question|answer1|answer2|answer3|answer4|key
01BASIC NAV (308)||1.An aircraft starts a descent at FL130 and descends to FL60. The CAS during the descent is 130 kt, consider ISA conditions. The TAS to be considered for dead reckoning during the descent is...|146 kt|105 kt|164 kt|153 kt|4
11BASIC NAV (308)||2.An aircraft has the following in-Flight conditions:$Altitude: FL140 IAS: 210 kt OAT: -5Â° C: Headwind 35 kts$When 150 NM from the reporting point, what IAS reduction is required to arrive 5 minutes later than planned?|30 kt|20 kt|15 kt|25 kt |2
21BASIC NAV (308)||3.You turn over a known point but the terrain on your next leg is featureless. You monitor your speed, heading and track for a known amount of time and come up with an estimated position. This position is known as ...$NOTE: This is an example question designed to reflect a particular 2018 LO and has not been reported as having been seen in this form in an exam.|a running fix|"a ""best guess"" fix"|a DR position|a two position line fix25 kt|3
31BASIC NAV (308)||4.The aircraft has an airspeed of 110 knots. The tailwind is 15 knots. The ILS glide path is published as 3.5Â°. What rate of descent should be set to achieve that glide path?|640 feet per minute|440 feet per minute|730 feet per minute|550 feet per minute|3
41BASIC NAV (308)||5.Which formula about gradient (in %) is correct? Gradient in % =?|Arctg (altitude difference/ground distance|ground difference/ (altitude difference x 100)|(rate of climb or descent) x ground speed|(altitude difference x 100)/ground distance|4
51BASIC NAV (308)||6.Given the following information, calculate the maximum Wind Correction Angle (WCA). TAS: 120 kt, Crosswind component 10 kt from the left.|5Â° right|12Â° left|12Â° right|5Â° left|4
61BASIC NAV (308)||7.An aircraft at FL330 is required to commence descent when 65 NM from a VOR and to cross the VOR at FL100.The mean GS during the descent is 330 kt. What is the minimum rate of descent required?|1950 ft/min|1850 ft/min|1650 ft/min|1750 ft/min|1
71BASIC NAV (308)||8.Calculate the magnetic heading required to maintain the given track if: True track: 192Â° Magnetic variation: 7Â°E Drift angle: 5Â° left.|204Â°|194Â°|190Â°|180Â°|3
81BASIC NAV (308)||9.Given the following information, convert the ground distance to air distance.$Ground distance: 130 NM$TAS: 165 kt$IAS: 140 kt$GS: 150 kt|139 NAM|127 NAM|178 NAM|143 NAM|4
91BASIC NAV (308)||10.Consider the following factors that determine the accuracy of a DR position: 1. The flight time since the last position update.2. The accuracy of the forecasted wind.3. The accuracy of the TAS.4. The accuracy of the steered heading. Using the list which of the above statements are correct?|1, 2 and 4|1, 2, 3 and 4|1, 2 and 3|1 and 2|2
101BASIC NAV (308)||11.Given the following information, calculate the heading (Â°T) and flight time: Course required: 085Â°(T) Forecast wind velocity: 030Â°(T)/100 kt TAS: 470 kt Distance: 265 NM|Heading: 075Â°(T), 39 MIN|Heading: 076Â° (T), 34 MIN|Heading: 095Â°(T), 31 MIN|Heading: 096Â°(T), 29 MIN|1
111BASIC NAV (308)||12.An aircraft is maintaining a 5.2 % gradient above flat terrain and is 7 NM from the runway. Calculate the aircraft's approximate height.|1890 ft|680 ft|2210 ft|3640 ft|3
121BASIC NAV (308)||13.At what latitude(s) in the northern hemisphere is it possible to experience high values of variation?|No latitude.|Low latitudes.|Any latitude.|High latitudes.|4
131BASIC NAV (308)||14.Given: GS = 105 kt. Distance from A to B = 103 NM. What is the time from A to B?|00 HR 58 MIN|00 HR 59 MIN|01 HR 01 MIN|00 HR 57 MIN|2
141BASIC NAV (308)||15.Given: TAS = 250 kt, HDG (T) = 029Â°, W/V = 035/45kt. Calculate the drift and GS?|1L - 205 kt|1L - 265 kt|1R-295 kt|1R-205 kt|1
151BASIC NAV (308)||16.A flight is being prepared by a pilot. According to the electronic navigation charts, the total ground distance is 350 NM.$Calculate the air distance to be used for fuel calculations, using the following data:$Average TT: 240Â°$Average TAS: 180 kt,$Average W/V: 270Â°/25 kt.|305 NAM|312 NAM|393 NAM|401 NAM|4
161BASIC NAV (308)||17.Given: TAS = 170 kt, HDG(T) = 100Â°, W/V = 350/30kt. Calculate the Track (Â°T) and GS?|103 - 178 kt|091 - 183 kt|098-178 kt|109-182 kt|4
171BASIC NAV (308)||18.What is the approximate Rate Of Descent for an aircraft with the following data?$Average TAS: 125 kt,$Average HWC: 30 kt,$Ground distance to go during the descent: 20 NM,$Descent: from FL180 to pressure altitude 4500 ft.|1750 ft/min|1400 ft/min|1450 ft/min|1050 ft/min|4
181BASIC NAV (308)||19.Given: TAS = 200 kt, Track (T) = 0730, W/V = 210/20kt. Calculate the HDG (Â°T) and GS?|077-214 kt|075 - 213 kt|077-210 kt|079 - 211 kt|1
191BASIC NAV (308)||20.An aircraft at FL350 is required to cross a VOR/DME facility at FL110 and to commence descent when 100 NM from the facility. If the mean GS for the descent is 335 kt, the minimum rate of descent required is...|1340 ft/min.|1240 ft/min.|1290 ft/min.|1390 ft/min.|1
201BASIC NAV (308)||21.Given: FL250, OAT -15 Â°C, TAS 250 kt. Calculate the Mach No.?|0.39|0.4|0.42|0.44|2
