stt|type|question|answer1|answer2|answer3|answer4|key
02 VISUAL FLIGHT RULES NAVIGATION (93)||1.Which of the following are problems associated with VFR navigation (without GPS) over low-lying desert late in the morning at about 11 AM?$1. Good navigation features might be widely separated. 2. Visual range is likely to be restricted.$3. Maps might be incomplete or out-of-date.$4. Visibility into the Sun might be difficult due to glare.|1 and 3 only|2 and 3 only|1 and 2 only|1,2, and 4 only|4
12 VISUAL FLIGHT RULES NAVIGATION (93)||2.When flying a day VFR flight at low level, using checkpoints on a 1:500 000 map, the most suitable features are...|very large ones, such as an extensive wooded area.|minor roads in a bulit up area.|ones that are tall and prominent, such as towers.|small ones, such a individual houses distributed over an area of farmland.|3
22 VISUAL FLIGHT RULES NAVIGATION (93)||3.An aircraft is making a VFR cross-country flight at low level. The flight involves at least four visual checkpoints on the route. Which option indicates the most suitable types of checkpoint?|Fly as low as possible and select aerodromes that are active for parachuting and gliding.|If flying over a wet, lowland area, choose small lakes rather than large ones.|Look for distinctive features such as a railway line to lead into a checkpoint.|Choose large, built-up areas that can be seen easily from low level.|3
32 VISUAL FLIGHT RULES NAVIGATION (93)||4.With regards to visual navigation, you are flying over land that is covered in snow with no visual features. You should...|turn around 180 and return the way you came.|turn at the time expected overhead the next waypoint.|start flying larger concentric circles.|climb and commence the lost procedure.|2
42 VISUAL FLIGHT RULES NAVIGATION (93)||5.Your on an airfield elevation 2000ft, QNH 1003. You want to climb to FL50, your rate of climb is 1000ft/min, your TAS is 100 and you have a headwind of 20. What is the distance it takes to get to FL50?|4.0 NM|4.8 NM|3.6 NM|4.4 NM|3
52 VISUAL FLIGHT RULES NAVIGATION (93)||6.Isogonals are lines of equal...|magnetic variation.|compass deviation.|pressure.|wind velocity.|1
62 VISUAL FLIGHT RULES NAVIGATION (93)||7.Given the following information, what is the maximum allowable wind speed that can be accepted without exceeding the tailwind limit? Maximum allowable tailwind component for landing: 10 kt Planned runway: 05 (047Â° (M)) Surface wind direction reported by ATIS: 210Â° VAR: 17Â°E|8 kt|10 kt|15 kt|18 kt|2
72 VISUAL FLIGHT RULES NAVIGATION (93)||8.A pilot is planning for a VFR cross-country flight, using visual checkpoints. Which of the following would be the most suitable checkpoint?|A small lake in a mountainous region.|A feature that contrasts with its natural surroundings.|A valley in an area of low hills.|A feature that merges into its natural surroundings.|2
82 VISUAL FLIGHT RULES NAVIGATION (93)||9.A pilot is planning to fly a VFR day flight over hilly terrain. Which option gives the best advice for selecting checkpoints?|A range of hills of uniform size, with NO additional features, is the best terrain to maintain good visual checkpoints.|Small rivers will be easy to spot in hilly terrain.|Isolated and prominent hills provide a good opportunity for check features.|The interpretation of topography from the map is easier than the interpretation of water features.|3
92 VISUAL FLIGHT RULES NAVIGATION (93)||10.When wanting to check flight progress by observation of a single visual position line (e.g. a canal) the latter must be|more or less parallel to the track.|oblique to the track.|curved across the track.|more or less perpendicular to the track.|4
102 VISUAL FLIGHT RULES NAVIGATION (93)||11.The evaluation of the differences between DR (dead reckoned) positions and actual positions (fixes) can refine flight performance and navigation.$Which of the following factors affect the accuracy of a DR position?$1. The accuracy of the last positive fix$2. The accuracy with which heading has been maintained$3. The accuracy with which air speed has been maintained$4. The accuracy of our estimate of the wind affecting the aircraft$NOTE: This is an example question designed to reflect a particular 2018 LO and has not been reported as having been seen in this form in an exam.|1,2,3 and 4|1,2 and 3|2 and 3|3 and 4|1
112 VISUAL FLIGHT RULES NAVIGATION (93)||12.A pilot planning a VFR flight leg is looking for a ground feature part way along a leg that is NOT in a built-up area.$All of the following are marked on the VFR chart in suitable locations for a visual fix. Which might allow the pilot to fix the position of the aircraft?$1. Dual-carriageway (four-lane) road crossing the intended track.$2. Dual-carriageway (four-lane) road crossing a river close to the intended track.$3. Disused railway crossing a river on the intended track.$4. Single-carriageway (two-lane) road crossing a railway close to the intended track.|1, 3, and 4 only|1, 2, and 4 only|2, 3, and 4 only|1, 2, and 3 only|3
